"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2025","5,302.50","5,597.25","5,695.80","4,834.15","","-5.51%"
"03/01/2025","5,611.85","5,968.33","5,986.09","5,488.73","","-5.75%"
"02/01/2025","5,954.50","5,969.65","6,147.43","5,837.66","","-1.42%"
"01/01/2025","6,040.53","5,903.26","6,128.18","5,773.31","","2.70%"
"12/01/2024","5,881.63","6,040.11","6,099.97","5,832.30","","-2.50%"
"11/01/2024","6,032.38","5,723.22","6,044.17","5,696.51","","5.73%"
"10/01/2024","5,705.45","5,757.73","5,878.46","5,674.00","","-0.99%"
"09/01/2024","5,762.48","5,623.89","5,767.37","5,402.62","","2.02%"
"08/01/2024","5,648.40","5,537.84","5,651.62","5,119.26","","2.28%"
"07/01/2024","5,522.30","5,471.08","5,669.67","5,390.95","","1.13%"
"06/01/2024","5,460.48","5,297.15","5,523.64","5,234.32","","3.47%"
"05/01/2024","5,277.51","5,029.03","5,341.88","5,011.05","","4.80%"
"04/01/2024","5,035.69","5,257.97","5,263.95","4,953.56","","-4.16%"
"03/01/2024","5,254.35","5,098.51","5,264.85","5,056.82","","3.10%"
"02/01/2024","5,096.27","4,861.11","5,111.06","4,853.52","","5.17%"
"01/01/2024","4,845.65","4,745.20","4,931.09","4,682.11","","1.59%"
"12/01/2023","4,769.83","4,559.43","4,793.30","4,546.50","","4.42%"
"11/01/2023","4,567.80","4,201.27","4,587.64","4,197.74","","8.92%"
"10/01/2023","4,193.80","4,284.52","4,393.57","4,103.78","","-2.20%"
"09/01/2023","4,288.05","4,530.60","4,541.25","4,238.63","","-4.87%"
"08/01/2023","4,507.66","4,578.83","4,584.62","4,335.31","","-1.77%"
"07/01/2023","4,588.96","4,450.48","4,607.07","4,385.05","","3.11%"
"06/01/2023","4,450.38","4,183.03","4,458.48","4,171.64","","6.47%"
"05/01/2023","4,179.83","4,166.79","4,231.10","4,048.28","","0.25%"
"04/01/2023","4,169.48","4,102.20","4,170.06","4,049.35","","1.46%"
"03/01/2023","4,109.31","3,963.34","4,110.75","3,808.86","","3.51%"
"02/01/2023","3,970.15","4,070.07","4,195.44","3,943.08","","-2.61%"
"01/01/2023","4,076.60","3,853.29","4,094.21","3,794.33","","6.18%"
"12/01/2022","3,839.50","4,087.14","4,100.96","3,764.49","","-5.90%"
"11/01/2022","4,080.11","3,901.79","4,080.11","3,698.15","","5.38%"
"10/01/2022","3,871.98","3,609.78","3,905.42","3,491.58","","7.99%"
"09/01/2022","3,585.62","3,936.73","4,119.28","3,584.13","","-9.34%"
"08/01/2022","3,955.00","4,112.38","4,325.28","3,954.53","","-4.24%"
"07/01/2022","4,130.29","3,781.00","4,140.15","3,721.56","","9.11%"
"06/01/2022","3,785.38","4,149.78","4,177.51","3,636.87","","-8.39%"
"05/01/2022","4,132.15","4,130.61","4,307.66","3,810.32","","0.01%"
"04/01/2022","4,131.93","4,540.32","4,593.45","4,124.28","","-8.80%"
"03/01/2022","4,530.41","4,363.14","4,637.30","4,157.87","","3.58%"
"02/01/2022","4,373.94","4,519.57","4,595.31","4,114.65","","-3.14%"
"01/01/2022","4,515.55","4,778.14","4,818.62","4,222.62","","-5.26%"
"12/01/2021","4,766.18","4,602.82","4,808.93","4,495.12","","4.36%"
"11/01/2021","4,567.00","4,610.62","4,743.83","4,560.00","","-0.83%"
"10/01/2021","4,605.38","4,317.16","4,608.08","4,278.94","","6.91%"
"09/01/2021","4,307.54","4,528.80","4,545.85","4,305.91","","-4.76%"
"08/01/2021","4,522.68","4,406.86","4,537.36","4,367.73","","2.90%"
"07/01/2021","4,395.26","4,300.73","4,429.97","4,233.13","","2.27%"
"06/01/2021","4,297.50","4,216.52","4,302.43","4,164.40","","2.22%"
"05/01/2021","4,204.11","4,191.98","4,238.04","4,056.88","","0.55%"
"04/01/2021","4,181.17","3,992.78","4,218.78","3,992.78","","5.24%"
"03/01/2021","3,972.89","3,842.51","3,994.41","3,723.34","","4.24%"
"02/01/2021","3,811.15","3,731.17","3,950.43","3,725.62","","2.61%"
"01/01/2021","3,714.24","3,764.61","3,870.90","3,662.71","","-1.11%"
"12/01/2020","3,756.07","3,645.87","3,760.20","3,633.40","","3.71%"
"11/01/2020","3,621.63","3,296.20","3,645.99","3,279.74","","10.75%"
"10/01/2020","3,269.96","3,385.87","3,549.85","3,233.94","","-2.77%"
"09/01/2020","3,363.00","3,507.44","3,588.11","3,209.45","","-3.92%"
"08/01/2020","3,500.31","3,288.26","3,514.77","3,284.53","","7.01%"
"07/01/2020","3,271.12","3,105.92","3,279.99","3,101.17","","5.51%"
"06/01/2020","3,100.29","3,038.78","3,233.13","2,965.66","","1.84%"
"05/01/2020","3,044.31","2,869.09","3,068.67","2,766.64","","4.53%"
